snapshot_date,product_id,size_inches,best_price,price_source,color_architecture
2026-06-24,126131,27.0,169.99,amazon,KSF
2026-06-24,96305,27.0,187.99,amazon,KSF
2026-05-25,97892,24.0,189.99,amazon_3p,KSF
2026-05-18,97892,24.0,189.99,amazon_3p,KSF
2026-06-08,97892,24.0,189.99,amazon_3p,KSF
2026-06-01,97892,24.0,189.99,amazon_3p,KSF
2026-04-23,97892,24.0,189.99,amazon_3p,KSF
2026-03-30,97892,24.0,189.99,amazon_3p,KSF
2026-04-06,97892,24.0,189.99,amazon_3p,KSF
2026-04-27,97892,24.0,189.99,amazon_3p,KSF
2026-05-04,97892,24.0,189.99,amazon_3p,KSF
2026-04-13,97892,24.0,189.99,amazon_3p,KSF
2026-03-23,97892,24.0,189.99,rtings,KSF
2026-05-11,97892,24.0,195.5,amazon_3p,KSF
2026-06-24,97892,24.0,196.37,amazon_3p,KSF
2026-03-23,56501,27.0,199.0,amazon,KSF
2026-04-27,126131,27.0,199.0,amazon,KSF
2026-03-30,56501,27.0,199.0,amazon,KSF
2026-06-24,126616,27.0,199.99,amazon,KSF
2026-06-08,97969,27.0,199.99,bestbuy,QD-LCD
2026-04-13,97969,27.0,199.99,bestbuy,QD-LCD
2026-05-18,126131,27.0,199.99,amazon,KSF
2026-03-23,97969,27.0,199.99,bestbuy,QD-LCD
2026-04-06,97969,27.0,199.99,bestbuy,QD-LCD
2026-05-04,126131,27.0,199.99,amazon,KSF
2026-03-30,96305,27.0,199.99,amazon,KSF
2026-06-08,126131,27.0,199.99,amazon,KSF
2026-05-04,97969,27.0,199.99,bestbuy,QD-LCD
2026-03-23,96305,27.0,199.99,amazon,KSF
2026-05-25,126131,27.0,199.99,amazon,KSF
2026-06-15,97969,27.0,199.99,bestbuy,QD-LCD
2026-06-01,126131,27.0,199.99,amazon,KSF
2026-06-24,97969,27.0,199.99,bestbuy,QD-LCD
2026-06-15,97892,24.0,202.73,amazon_3p,KSF
2026-05-04,1640,27.0,219.0,amazon,WLED
2026-05-11,1640,27.0,219.0,amazon,WLED
2026-06-08,96305,27.0,219.99,amazon,KSF
2026-03-30,126616,27.0,219.99,amazon,KSF
2026-04-13,96305,27.0,219.99,amazon,KSF
2026-06-01,96305,27.0,219.99,amazon,KSF
2026-04-23,96305,27.0,219.99,amazon,KSF
2026-03-23,126131,27.0,223.43,amazon_3p,KSF
2026-03-30,126131,27.0,225.82,amazon_3p,KSF
2026-06-15,126131,27.0,229.95,amazon_3p,KSF
2026-06-24,96735,27.0,229.99,amazon,KSF
2026-04-13,60445,27.0,229.99,bestbuy,KSF
2026-05-25,96305,27.0,229.99,amazon,KSF
2026-04-23,60445,27.0,229.99,amazon_3p,KSF
2026-04-27,60445,27.0,229.99,amazon_3p,KSF
2026-05-18,1640,27.0,232.99,amazon_3p,WLED
2026-06-08,1640,27.0,234.0,amazon_3p,WLED
2026-04-13,1640,27.0,234.0,amazon_3p,WLED
2026-06-15,1640,27.0,234.0,amazon_3p,WLED
2026-04-13,126616,27.0,236.0,amazon_3p,KSF
2026-04-06,126616,27.0,236.0,amazon_3p,KSF
2026-04-23,126131,27.0,236.89,amazon_3p,KSF
2026-05-11,126131,27.0,236.89,amazon_3p,KSF
2026-04-13,126131,27.0,236.97,amazon_3p,KSF
2026-04-06,126131,27.0,236.97,amazon_3p,KSF
2026-05-11,126616,27.0,236.99,amazon_3p,KSF
2026-05-04,126616,27.0,236.99,amazon_3p,KSF
2026-05-04,60445,27.0,239.0,amazon_3p,KSF
2026-05-18,96305,27.0,239.0,amazon_3p,KSF
2026-06-24,60445,27.0,239.99,amazon_3p,KSF
2026-03-23,126616,27.0,239.99,amazon_3p,KSF
2026-06-01,60445,27.0,241.98,amazon_3p,KSF
2026-06-15,60445,27.0,243.0,amazon_3p,KSF
2026-05-11,96305,27.0,243.0,amazon_3p,KSF
2026-06-15,96305,27.0,243.0,amazon_3p,KSF
2026-05-04,96305,27.0,243.0,amazon_3p,KSF
2026-05-25,60445,27.0,243.0,amazon_3p,KSF
2026-04-27,96305,27.0,243.0,amazon_3p,KSF
2026-06-08,60445,27.0,243.0,amazon_3p,KSF
2026-05-18,60445,27.0,243.0,amazon_3p,KSF
2026-05-11,60445,27.0,244.0,amazon_3p,KSF
2026-06-15,126616,27.0,244.99,amazon,KSF
2026-06-01,126616,27.0,244.99,amazon,KSF
2026-06-08,126616,27.0,244.99,amazon,KSF
2026-06-24,56501,27.0,244.99,amazon,KSF
2026-06-08,56501,27.0,245.05,amazon_3p,KSF
2026-06-24,1640,27.0,246.2,amazon,WLED
2026-04-06,96305,27.0,246.99,amazon_3p,KSF
2026-04-23,126616,27.0,246.99,amazon_3p,KSF
2026-06-15,56501,27.0,249.5,amazon_3p,KSF
2026-03-30,60445,27.0,249.99,amazon,KSF
2026-05-18,126616,27.0,249.99,amazon,KSF
2026-04-27,96306,32.0,249.99,bestbuy,KSF
2026-04-23,96306,32.0,249.99,bestbuy,KSF
2026-04-06,60445,27.0,249.99,amazon_3p,KSF
2026-06-15,39860,27.0,249.99,rtings,QD-LCD
2026-06-08,39860,27.0,249.99,rtings,QD-LCD
2026-06-24,39860,27.0,249.99,rtings,QD-LCD
2026-04-06,1640,27.0,254.38,amazon_3p,WLED
2026-05-25,56501,27.0,254.99,amazon_3p,KSF
2026-06-01,56501,27.0,254.99,amazon_3p,KSF
2026-05-18,56501,27.0,254.99,amazon_3p,KSF
2026-04-27,126616,27.0,257.99,amazon,KSF
2026-06-01,1640,27.0,258.0,amazon_3p,WLED
2026-05-11,56501,27.0,258.0,amazon_3p,KSF
2026-05-25,126616,27.0,259.99,amazon,KSF
2026-06-01,96306,32.0,259.99,bestbuy,KSF
2026-05-04,96306,32.0,259.99,bestbuy,KSF
2026-03-23,60445,27.0,259.99,amazon_3p,KSF
2026-04-13,96306,32.0,259.99,bestbuy,KSF
2026-04-27,56501,27.0,259.99,amazon,KSF
2026-04-27,1640,27.0,260.96,amazon_3p,WLED
2026-04-23,56501,27.0,261.0,amazon_3p,KSF
2026-05-04,56501,27.0,262.0,amazon_3p,KSF
2026-04-23,1640,27.0,263.85,amazon_3p,WLED
2026-05-25,1640,27.0,264.0,amazon_3p,WLED
2026-06-24,94439,27.0,264.97,amazon,KSF
2026-05-04,96735,27.0,265.0,amazon_3p,KSF
2026-04-27,912,27.0,266.0,amazon_3p,KSF
2026-06-24,41927,27.0,269.0,amazon,KSF
2026-04-06,56501,27.0,269.0,amazon,KSF
2026-04-13,56501,27.0,269.0,amazon,KSF
2026-06-24,40848,27.0,269.94,amazon_3p,KSF
2026-06-08,40848,27.0,269.94,amazon_3p,KSF
2026-06-15,40848,27.0,269.94,amazon_3p,KSF
2026-04-27,41611,27.0,269.99,amazon,QD-LCD
2026-04-23,41611,27.0,269.99,amazon,QD-LCD
2026-04-06,96735,27.0,269.99,amazon_3p,KSF
2026-04-23,96735,27.0,269.99,amazon_3p,KSF
